iter	Passed	Remaining
0	145	145137
1	145	72837
2	146	48719
3	147	36702
4	148	29483
5	148	24662
6	150	21377
7	151	18834
8	152	16816
9	153	15192
10	154	13867
11	154	12756
12	155	11809
13	156	10997
14	156	10293
15	157	9677
16	158	9139
17	158	8657
18	159	8227
19	160	7840
20	160	7489
21	161	7168
22	161	6878
23	162	6609
24	163	6361
25	163	6142
26	165	5962
27	166	5786
28	167	5604
29	168	5433
30	168	5274
31	169	5121
32	169	4981
33	170	4847
34	171	4721
35	171	4603
36	172	4489
37	173	4381
38	173	4279
39	174	4182
40	174	4090
41	175	4001
42	176	3918
43	176	3839
44	177	3761
45	177	3687
46	178	3623
47	180	3570
48	180	3512
49	181	3453
50	182	3395
51	183	3339
52	183	3284
53	184	3232
54	185	3181
55	185	3131
56	186	3082
57	186	3036
58	187	2991
59	188	2947
60	188	2904
61	189	2863
62	189	2824
63	190	2785
64	191	2748
65	191	2712
66	192	2676
67	193	2646
68	195	2635
69	196	2608
70	197	2577
71	197	2546
72	198	2516
73	198	2486
74	199	2457
75	199	2429
76	200	2402
77	201	2376
78	201	2352
79	202	2327
80	203	2303
81	203	2280
82	204	2253
83	204	2231
84	205	2209
85	205	2188
86	206	2167
87	207	2147
88	208	2131
89	210	2123
90	210	2105
91	211	2087
92	212	2068
93	212	2049
94	213	2032
95	214	2015
96	214	1997
97	215	1980
98	215	1963
99	216	1946
100	216	1930
101	217	1913
102	217	1897
103	218	1881
104	218	1866
105	219	1851
106	220	1837
107	220	1823
108	221	1809
109	222	1796
110	223	1786
111	224	1780
112	225	1767
113	225	1754
114	226	1741
115	226	1729
116	227	1715
117	227	1703
118	228	1691
119	229	1679
120	229	1667
121	229	1655
122	230	1643
123	231	1632
124	231	1621
125	232	1610
126	232	1599
127	233	1588
128	233	1578
129	234	1568
130	235	1558
131	235	1548
132	236	1539
133	236	1530
134	238	1526
135	239	1519
136	239	1509
137	240	1500
138	240	1491
139	241	1482
140	241	1473
141	242	1463
142	242	1454
143	243	1445
144	243	1436
145	244	1428
146	244	1419
147	245	1411
148	245	1403
149	246	1395
150	246	1387
151	247	1380
152	248	1372
153	248	1365
154	249	1358
155	250	1352
156	250	1345
157	251	1339
158	252	1336
159	253	1331
160	254	1324
161	254	1317
162	255	1310
163	255	1303
164	256	1296
165	256	1290
166	257	1283
167	257	1276
168	258	1270
169	258	1264
170	259	1257
171	260	1251
172	260	1245
173	261	1239
174	261	1233
175	262	1228
176	262	1222
177	263	1216
178	264	1211
179	264	1205
180	265	1199
181	265	1194
182	266	1189
183	267	1187
184	268	1182
185	269	1177
186	269	1172
187	270	1167
188	270	1161
189	271	1156
190	271	1151
191	272	1145
192	272	1140
193	273	1135
194	273	1130
195	274	1125
196	274	1120
197	275	1115
198	275	1110
199	276	1106
200	277	1101
201	277	1096
202	278	1092
203	278	1087
204	279	1082
205	279	1078
206	280	1073
207	280	1069
208	282	1067
209	282	1064
210	283	1060
211	284	1056
212	284	1051
213	285	1047
214	285	1043
215	286	1038
216	286	1034
217	287	1030
218	287	1026
219	288	1022
220	288	1017
221	289	1013
222	289	1010
223	290	1006
224	291	1002
225	291	999
226	292	995
227	292	992
228	293	988
229	294	984
230	294	980
231	295	976
232	295	973
233	297	972
234	297	969
235	298	966
236	298	962
237	299	958
238	299	954
239	300	951
240	300	947
241	301	943
242	301	940
243	302	937
244	303	933
245	303	930
246	304	927
247	304	924
248	305	921
249	306	918
250	306	914
251	307	911
252	307	908
253	308	904
254	308	901
255	309	898
256	309	895
257	310	892
258	311	891
259	312	889
260	313	886
261	313	883
262	314	880
263	314	877
264	315	874
265	315	871
266	316	868
267	317	866
268	317	863
269	318	860
270	319	858
271	319	855
272	320	853
273	320	850
274	321	847
275	322	844
276	322	842
277	323	839
278	323	836
279	324	833
280	324	831
281	326	830
282	327	829
283	327	826
284	328	823
285	328	821
286	329	818
287	330	816
288	330	814
289	331	811
290	332	808
291	332	806
292	333	803
293	333	800
294	334	798
295	334	795
296	335	793
297	335	790
298	336	788
299	336	785
300	337	783
301	337	780
302	338	778
303	338	775
304	339	773
305	340	771
306	341	770
307	342	768
308	342	766
309	343	763
310	343	761
311	344	759
312	344	756
313	345	754
314	345	752
315	346	749
316	347	747
317	347	745
318	348	742
319	348	740
320	349	738
321	349	736
322	350	733
323	350	731
324	351	729
325	351	727
326	352	725
327	352	722
328	353	720
329	353	718
330	354	717
331	355	716
332	356	714
333	357	712
334	357	710
335	358	708
336	358	705
337	359	703
338	359	701
339	360	699
340	360	697
341	361	695
342	361	693
343	362	691
344	363	689
345	363	687
346	364	685
347	364	683
348	365	681
349	365	678
350	366	676
351	366	674
352	367	672
353	367	670
354	368	668
355	368	667
356	370	666
357	371	665
358	371	663
359	372	662
360	373	660
361	373	658
362	374	656
363	374	654
364	375	652
365	375	650
366	376	648
367	376	646
368	377	645
369	377	643
370	378	641
371	378	639
372	379	637
373	379	635
374	380	633
375	380	632
376	381	630
377	381	628
378	382	626
379	383	624
380	383	623
381	384	622
382	385	621
383	386	619
384	387	618
385	387	616
386	388	614
387	388	613
388	389	611
389	389	609
390	390	607
391	390	606
392	391	604
393	391	602
394	392	600
395	392	599
396	393	597
397	393	595
398	394	594
399	395	592
400	395	590
401	396	589
402	396	587
403	397	585
404	397	584
405	398	582
406	400	583
407	401	581
408	401	580
409	402	579
410	402	577
411	403	575
412	404	574
413	404	572
414	405	571
415	405	569
416	406	568
417	407	566
418	407	565
419	408	563
420	408	562
421	409	560
422	410	559
423	410	557
424	411	556
425	411	555
426	413	554
427	428	572
428	429	571
429	431	571
430	432	570
431	432	568
432	433	567
433	433	565
434	434	564
435	434	562
436	435	560
437	435	559
438	436	557
439	436	555
440	437	554
441	437	552
442	438	551
443	438	549
444	439	548
